State,District,Year,Loan Category,Loans Sanctioned,Amt Sanctioned Lakh,Loans Disbursed,Amt Disbursed Lakh,Npa Count,Npa Amount Lakh
Andhra Pradesh,Anantapur,2015-16,Micro Manufacturing,63,435.3,51,327.3,0,0.0
Andhra Pradesh,Anantapur,2015-16,Micro Services,43,189.2,41,185.7,0,0.0
Andhra Pradesh,Anantapur,2015-16,Micro Trade,55,217.6,51,190.5,0,0.0
Andhra Pradesh,Anantapur,2015-16,Small Manufacturing,39,986.0,37,940.4,0,0.0
Andhra Pradesh,Anantapur,2015-16,Small Services,56,1301.4,52,1224.2,0,0.0
Andhra Pradesh,Anantapur,2015-16,Medium Manufacturing,33,3212.9,31,3164.2,0,0.0
Andhra Pradesh,Anantapur,2015-16,Medium Services,29,2877.5,27,2770.9,0,0.0
Andhra Pradesh,Anantapur,2016-17,Micro Manufacturing,49,303.8,46,289.9,0,0.0
Andhra Pradesh,Anantapur,2016-17,Micro Services,53,291.3,44,237.1,0,0.0
Andhra Pradesh,Anantapur,2016-17,Micro Trade,40,225.2,34,202.5,0,0.0
Andhra Pradesh,Anantapur,2016-17,Small Manufacturing,50,1528.7,47,1488.1,0,0.0
Andhra Pradesh,Anantapur,2016-17,Small Services,70,1496.4,59,1182.4,0,0.0
Andhra Pradesh,Anantapur,2016-17,Medium Manufacturing,49,5978.2,43,5294.5,0,0.0
Andhra Pradesh,Anantapur,2016-17,Medium Services,58,4726.6,51,4089.3,0,0.0
Andhra Pradesh,Anantapur,2017-18,Micro Manufacturing,38,228.4,35,215.8,0,0.0
Andhra Pradesh,Anantapur,2017-18,Micro Services,39,192.7,32,146.2,0,0.0
Andhra Pradesh,Anantapur,2017-18,Micro Trade,59,231.8,52,217.9,0,0.0
Andhra Pradesh,Anantapur,2017-18,Small Manufacturing,30,814.5,26,682.7,0,0.0
Andhra Pradesh,Anantapur,2017-18,Small Services,60,1367.9,52,1107.4,0,0.0
Andhra Pradesh,Anantapur,2017-18,Medium Manufacturing,55,6069.9,54,5878.3,0,0.0
Andhra Pradesh,Anantapur,2017-18,Medium Services,54,5959.1,51,5713.1,0,0.0
Andhra Pradesh,Anantapur,2018-19,Micro Manufacturing,37,193.2,33,158.8,0,0.0
Andhra Pradesh,Anantapur,2018-19,Micro Services,25,107.3,23,102.5,0,0.0
Andhra Pradesh,Anantapur,2018-19,Micro Trade,63,244.4,50,196.5,0,0.0
Andhra Pradesh,Anantapur,2018-19,Small Manufacturing,38,1041.8,36,1001.0,0,0.0
Andhra Pradesh,Anantapur,2018-19,Small Services,22,450.0,20,441.1,0,0.0
Andhra Pradesh,Anantapur,2018-19,Medium Manufacturing,40,3683.5,34,3025.7,0,0.0
Andhra Pradesh,Anantapur,2018-19,Medium Services,78,6130.8,74,5916.1,0,0.0
Andhra Pradesh,Anantapur,2019-20,Micro Manufacturing,39,250.2,34,206.4,0,0.0
Andhra Pradesh,Anantapur,2019-20,Micro Services,120,614.6,107,557.4,1,5.4
Andhra Pradesh,Anantapur,2019-20,Micro Trade,44,233.7,41,232.5,0,0.0
Andhra Pradesh,Anantapur,2019-20,Small Manufacturing,28,1004.3,28,981.6,0,0.0
Andhra Pradesh,Anantapur,2019-20,Small Services,31,596.3,29,545.0,0,0.0
Andhra Pradesh,Anantapur,2019-20,Medium Manufacturing,65,8830.7,59,8249.0,0,0.0
Andhra Pradesh,Anantapur,2019-20,Medium Services,36,2698.6,31,2272.0,0,0.0
Andhra Pradesh,Anantapur,2020-21,Micro Manufacturing,42,234.3,32,185.0,1,7.6
Andhra Pradesh,Anantapur,2020-21,Micro Services,39,175.7,29,134.4,1,3.7
Andhra Pradesh,Anantapur,2020-21,Micro Trade,44,204.9,38,196.3,1,4.9
Andhra Pradesh,Anantapur,2020-21,Small Manufacturing,20,512.5,16,423.7,0,0.0
Andhra Pradesh,Anantapur,2020-21,Small Services,14,300.6,10,210.7,0,0.0
Andhra Pradesh,Anantapur,2020-21,Medium Manufacturing,17,1500.6,15,1203.7,0,0.0
Andhra Pradesh,Anantapur,2020-21,Medium Services,178,13438.2,133,10243.4,5,316.1
Andhra Pradesh,Anantapur,2021-22,Micro Manufacturing,49,330.4,45,298.9,0,0.0
Andhra Pradesh,Anantapur,2021-22,Micro Services,49,235.4,45,208.7,1,5.7
Andhra Pradesh,Anantapur,2021-22,Micro Trade,60,284.6,54,256.9,0,0.0
